id,Country,City,Population,PIB
1,Russia,Sobinka,524072,0.54
2,Thailand,Wiset Chaichan,558305,7.85
3,United Kingdom,Twyford,229461,11.98
4,Russia,Aykhal,578369,3.09
5,Sweden,Växjö,660444,11.96
6,China,Shuihu,564889,4.58
7,Philippines,Cogtong,790788,9.33
8,Indonesia,Naifalo,365009,1.23
9,Kyrgyzstan,Ala-Buka,734573,3.43
10,Argentina,Vicuña Mackenna,832192,5.0
11,Ukraine,Mysove,842779,7.85
12,Bosnia and Herzegovina,Živinice,862548,10.23
13,Indonesia,Sobeok,254122,8.18
14,Argentina,Las Higueras,419347,8.24
15,Thailand,Phu Phiang,576439,11.17
16,Mauritania,Néma,764326,6.83
17,Canada,Salaberry-de-Valleyfield,400405,10.82
18,Czech Republic,Dřevohostice,498841,10.3
19,Yemen,Al Misrākh,969880,3.8
20,Czech Republic,Chroustovice,900376,10.51
21,Indonesia,Cikiruh,818839,8.63
22,Portugal,Fonte,927146,11.98
23,China,Sigu,347524,2.85
24,Portugal,Gonça,749841,4.0
25,Sweden,Båstad,150860,4.57
26,Russia,Uritsk,123180,4.44
27,Angola,Sumbe,117510,2.36
28,Russia,Kotlovka,452419,7.31
29,Greece,Cholargós,706847,11.87
30,Palestinian Territory,Rūjayb,525079,5.23
31,Germany,Hamburg Harvestehude,164803,6.63
32,Russia,Novoaleksandrovsk,543803,3.13
33,Philippines,Puerto Galera,288932,1.83
34,Portugal,Estribeiro,214891,5.41
35,Japan,Mitaka-shi,296750,5.78
36,France,Aulnay-sous-Bois,161961,9.23
37,Cyprus,Limassol,900290,4.13
38,Sweden,Mariestad,165100,3.27
39,Zambia,Monze,805914,3.87
40,Indonesia,Ubajami,196229,0.62
41,France,Villeneuve-lès-Avignon,479292,1.96
42,Indonesia,Kadugede,279463,2.0
43,Philippines,San Diego,665779,3.23
44,Portugal,Arrifes,806988,4.02
45,Philippines,Kotkot,411975,3.02
46,Brazil,Inhambupe,294756,2.73
47,Comoros,Koua,585813,0.75
48,East Timor,Dili,639132,0.54
49,Philippines,Boñgalon,135206,3.07
50,Indonesia,Tanjung Palas,716940,0.26
51,France,Cavaillon,249260,1.55
52,Indonesia,Sipoholon,696783,3.46
53,Japan,Iwatsuki,211897,11.68
54,China,Tongjiaxi,836757,9.1
55,Sweden,Landskrona,589470,3.23
56,South Africa,Camperdown,320419,1.09
57,Argentina,Aviá Terai,317032,1.7
58,Iran,Jam,331612,0.13
59,Tanzania,Liuli,991369,0.83
60,Madagascar,Andilamena,566275,6.63
61,China,Xihe,421120,7.33
62,Nicaragua,Managua,285466,1.96
63,China,Liyuan,127551,8.49
64,Russia,Bilyarsk,544740,2.95
65,Poland,Rachanie,886835,3.55
66,Ukraine,Buchach,978010,2.4
67,China,Xingfu,847392,10.18
68,Indonesia,Labuhantanggabesar,871128,7.2
69,Russia,Stroitel’,185435,0.32
70,Serbia,Stari Grad,272914,0.51
71,Vietnam,Bù Đốp,452239,5.53
72,Senegal,Diourbel,988485,5.96
73,Poland,Skoki,473409,6.91
74,Mexico,Cuauhtemoc,477296,6.81
75,Russia,Zhukovskiy,360925,10.42
76,China,Qijiazuo,817136,5.45
77,Russia,Mirnyy,986056,9.91
78,China,Zhushan,680687,5.49
79,Tanzania,Kasulu,142165,0.36
80,France,Paris 14,447455,0.33
81,Myanmar,Nay Pyi Taw,379258,11.31
82,Czech Republic,Hluboká nad Vltavou,295112,11.69
83,Russia,Zhankhoteko,496401,10.3
84,Sri Lanka,Wattegama,912533,10.77
85,China,Shuiyuesi,279470,9.04
86,Russia,Zmeyskaya,229462,8.89
87,Russia,Tonshayevo,423452,9.45
88,China,Longxi,216920,4.85
89,China,Xijiao,905413,9.15
90,Russia,Odoyev,148954,0.6
91,China,Dengzhuang,148357,7.08
92,Australia,Sydney,635702,7.1
93,Serbia,Seleuš,990950,7.57
94,Poland,Polanka Wielka,737321,2.92
95,Indonesia,Randuagung,132229,0.82
96,Indonesia,Palama,706390,7.76
97,Cameroon,Akonolinga,879428,1.06
98,China,Yaqian,257003,10.62
99,South Africa,Fort Beaufort,576927,5.11
100,Mali,Ténenkou,997180,3.54
