id,Contry,City,Exports,imports,Population
1,South Korea,Iksan,95919202,26149641,74298978
2,China,Panjiang,82183005,85343790,30647815
3,Serbia,Ostružnica,17071091,63404749,46999833
4,Czech Republic,Březová,71821213,15617235,21408611
5,Peru,Nueva Arica,36015297,81783068,59710223
6,Brazil,Taquarituba,39671954,32914667,30359587
7,Bangladesh,Nārāyanganj,9478133,96076056,31132809
8,Russia,Pankovka,78683795,84537092,49305387
9,China,Jundian,43521648,32365026,11612707
10,China,Qibu,93289787,68923656,63411284
11,China,Gabasumdo,23746566,43250473,14656745
12,Argentina,Venado Tuerto,62173351,94976229,63189676
13,Ecuador,Bahía de Caráquez,22565469,87928779,41595295
14,China,Laojiangjunjie,13365907,34958519,37236543
15,China,Nuoxizhi,34924755,53555579,79009250
16,Togo,Badou,44140004,13580510,51854153
17,Pakistan,Thāru Shāh,21440041,73548648,22103508
18,Croatia,Marinići,30705188,40682269,50830839
19,Indonesia,Riangkroko,69651089,93843964,29424925
20,China,Songshu,88520240,90499781,78828077
21,China,Xinxing,89995710,42412319,69502712
22,Antigua and Barbuda,Saint John’s,82979362,20166703,55598301
23,Denmark,København,90660370,22832861,14713171
24,Germany,Berlin,45202642,84419606,35529298
25,Nigeria,Kontagora,82581702,65278293,55554777
26,Philippines,Puerto Bello,86036992,86249022,15890875
27,Armenia,Vayk’,26777957,71134198,25866323
28,China,Xinshidu,5823535,75603734,24211146
29,China,Lang,63257956,91510954,40995661
30,China,Huangshi,53143512,54086407,59590519
31,Indonesia,Mondokan,81494791,31127146,41192289
32,China,Chenchang,43683341,81527458,51256726
33,China,Kezilei,52703148,10972518,32098094
34,Russia,Sredniy,79422161,52771816,56175371
35,Nigeria,Orodo,57939089,81541027,27710164
36,United States,Wilkes Barre,31309653,40467150,18648845
37,Syria,Az Ziyārah,79357850,69608323,33519960
38,China,Huanggang,64233816,67504387,77770769
39,United States,Fresno,34070041,94301358,71932257
40,Brazil,Padre Paraíso,16755629,84266952,50956463
41,China,Qidu,79508134,46232176,54859051
42,Indonesia,Kampungsusah,26190440,37507234,16204750
43,Colombia,Pupiales,7607792,63481987,78198438
44,United States,Fresno,39900891,51680758,39703350
45,Vietnam,Kiên Lương,54783948,67446448,72220088
46,North Korea,Kangdong-ŭp,23677497,3988822,35600670
47,Peru,San Pedro de Lloc,79760699,95327660,79033933
48,China,Hongshan,94182347,99292661,67099425
49,Argentina,Morrison,38879125,39505385,40766257
50,China,Yihe,73830774,76227721,61157335
51,Brazil,Horizonte,72788243,75232929,59203506
52,China,Liuzikou,63961047,37126483,39023653
53,Philippines,Mancilang,49339226,37089354,75690208
54,Philippines,Pimbalayan,46646879,69803311,35964372
55,Brazil,Itupeva,25326831,17516813,59473607
56,China,Jianping,59989414,86644096,39265522
57,Ukraine,Turka,58008982,13595497,44121130
58,Greece,Efkarpía,13995720,56991215,27696697
59,Serbia,Perlez,51716969,29255059,58695065
60,Russia,Molochnoye,41400385,15835932,35052185
61,Portugal,Ferraria,95419254,68889485,54406455
62,Russia,Rossosh’,20358419,23924885,48186871
63,China,Ganchazi,91753215,65269207,70745535
64,China,Ordos,58603858,78157516,34355003
65,Uganda,Kaabong,94370332,96649805,68260944
66,Nigeria,Ngala,6610464,80771708,33138895
67,Czech Republic,Starý Bohumín,35055579,97555044,47166882
68,China,Yuwang,32031225,95362241,50879476
69,Sweden,Stockholm,8086426,63218579,46704328
70,Argentina,Albardón,56838100,73945634,78677079
71,Ecuador,Santa Rosa,49950504,72540271,14649869
72,Japan,Ube,73343121,61901637,42704463
73,Russia,Belozërskoye,61416218,68104452,20954030
74,Brazil,Pirassununga,27416448,55864629,67983299
75,Ecuador,Ibarra,83341578,74382722,49974898
76,Nepal,Gaur,37497364,48477356,74281576
77,China,Xiangquan,15437000,17150853,59410993
78,Chile,Puerto Cisnes,35935813,11172042,53152552
79,Poland,Potok Złoty,23920960,29050027,25216237
80,Argentina,Arias,21502992,29680554,79035100
81,Canada,Lac-Mégantic,48152257,32178143,41171454
82,Russia,Kremenki,98219923,33785276,28973395
83,Finland,Iitti,84820478,75228882,48250376
84,Nigeria,Giade,92976992,3763817,79261455
85,China,Jingling,20090050,25414813,21780606
86,Argentina,Concepción del Uruguay,72101533,3262365,59479228
87,Indonesia,Munturkaju,97931403,50232305,29288116
88,Portugal,Outeiro de Polima,55814708,20942163,60612896
89,China,Xiaheqing,72691491,62892617,43654324
90,Portugal,Antas,80389021,45032175,10030565
91,China,Hetang,92196892,20476598,14436065
92,United States,Waterbury,91842632,27649364,48368665
93,Pakistan,Vihāri,19964502,75878961,19433626
94,Albania,Blerim,2281460,79254895,24831395
95,Indonesia,Wanagiri,23714809,50202802,79200862
96,Russia,Kalnibolotskaya,13785327,46168010,12673825
97,Philippines,Odiong,97586780,94926106,37363410
98,Indonesia,Bojongsarung,67503943,35986959,32155640
99,Philippines,Babo-Pangulo,13547940,49501458,19624368
100,Portugal,Póvoa do Valado,33532611,86654660,16021079
